Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HIVE-17063,13085777,insert overwrite partition onto a external table fail when drop partition first,djaiswal,wanghaihua,Major,Resolved,Fixed,09/Jul/17 15:56,15/Dec/19 23:40,
Bug,HIVE-16958,13082436,Setting hive.merge.sparkfiles=true will retrun an error when generating parquet databases ,kellyzly,Liu765940375,Major,Closed,Fixed,26/Jun/17 08:24,27/Dec/20 13:35,26/Jun/17 00:00
Bug,HIVE-16832,13077771,duplicate ROW__ID possible in multi insert into transactional table,ekoifman,ekoifman,Critical,Closed,Fixed,06/Jun/17 18:59,23/May/18 00:00,
Bug,HIVE-16828,13077576,"With CBO enabled, Query on partitioned views throws IndexOutOfBoundException",vgarg,adeshrao,Major,Closed,Fixed,06/Jun/17 07:16,22/May/18 23:59,
Bug,HIVE-16683,13072532,ORC WriterVersion gets ArrayIndexOutOfBoundsException on newer ORC files,omalley,omalley,Major,Closed,Fixed,16/May/17 17:50,08/Aug/20 21:09,
Bug,HIVE-16577,13068896,Syntax error in the metastore init scripts for mssql,vihangk1,vihangk1,Blocker,Closed,Fixed,03/May/17 19:32,23/May/18 00:00,
Bug,HIVE-16507,13066009,"Hive Explain User-Level may print out ""Vertex dependency in root stage"" twice",stakiar,stakiar,Major,Closed,Fixed,21/Apr/17 22:10,22/May/18 23:57,
Bug,HIVE-16480,13065151,ORC file with empty array<double> and array<float> fails to read,omalley,dcapwell,Major,Resolved,Fixed,19/Apr/17 16:38,27/Feb/24 22:23,
Bug,HIVE-16465,13064558,NullPointer Exception when enable vectorization for Parquet file format,colin,colin,Critical,Closed,Fixed,18/Apr/17 02:09,22/May/18 23:57,
Bug,HIVE-16404,13062242,Renaming of public classes in Calcite 12 breeaking druid integration,,bslim,Major,Closed,Fixed,06/Apr/17 20:42,22/May/18 23:57,
Bug,HIVE-16347,13060740,HiveMetastoreChecker should skip listing partitions which are not valid when hive.msck.path.validation is set to skip or ignore,vihangk1,vihangk1,Minor,Closed,Fixed,31/Mar/17 17:13,22/May/18 23:58,
Bug,HIVE-16335,13060429,Beeline user HS2 connection file should use /etc/hive/conf instead of /etc/conf/hive,vihangk1,harschware,Major,Closed,Fixed,30/Mar/17 16:26,22/May/18 23:58,
Bug,HIVE-16333,13060258,"remove the redundant symbol ""\"" to appear red in sublime text 3",txhsj,txhsj,Minor,Closed,Fixed,30/Mar/17 06:27,22/May/18 23:57,
Bug,HIVE-16329,13060189,TopN: use local executor info for LLAP memory checks,gopalv,gopalv,Major,Closed,Fixed,29/Mar/17 22:43,22/May/18 23:59,
Bug,HIVE-16299,13059240,MSCK REPAIR TABLE should enforce partition key order when adding unknown partitions,vihangk1,dmarkovitz,Minor,Closed,Fixed,26/Mar/17 20:16,22/May/18 23:58,
Bug,HIVE-16282,13058352,Semijoin: Disable slow-start for the bloom filter aggregate task,djaiswal,gopalv,Major,Closed,Fixed,22/Mar/17 18:48,23/May/18 00:00,
Bug,HIVE-16254,13057461,metadata for values temporary tables for INSERTs are getting replicated during bootstrap,anishek,anishek,Major,Closed,Fixed,20/Mar/17 09:04,22/May/18 23:57,
Bug,HIVE-16219,13056223,metastore notification_log contains serialized message with  non functional fields,anishek,anishek,Major,Closed,Fixed,15/Mar/17 08:51,22/May/18 23:59,
