Bug ID,Version,File
HIVE-12767,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/convert/TestETypeConverter.java
HIVE-12767,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/timestamp/TestNanoTimeUtils.java
HIVE-12767,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/ParquetRecordReaderBase.java
HIVE-12767,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/timestamp/TestNanoTimeUtils.java
HIVE-12767,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/ParquetRecordReaderBase.java
HIVE-12767,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/timestamp/TestNanoTimeUtils.java
HIVE-12767,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/ParquetRecordReaderBase.java
HIVE-12767,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/serde/ParquetTableUtils.java
HIVE-12767,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/vector/VectorizedParquetRecordReader.java
HIVE-12767,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/vector/VectorizedPrimitiveColumnReader.java
HIVE-12767,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/TestVectorizedColumnReader.java
HIVE-12767,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/VectorizedColumnReaderTestBase.java
HIVE-12767,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/convert/TestETypeConverter.java
HIVE-12767,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/timestamp/TestNanoTimeUtils.java
HIVE-12767,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/timestamp/TestParquetTimestampConverter.java
HIVE-12577,2.0.0,llap-server/src/java/org/apache/hadoop/hive/llap/tezplugins/LlapDaemonProtocolClientProxy.java
HIVE-12577,2.0.0,llap-server/src/java/org/apache/hadoop/hive/llap/tezplugins/LlapTaskCommunicator.java
HIVE-12577,2.0.0,llap-server/src/test/org/apache/hadoop/hive/llap/tezplugins/TestLlapDaemonProtocolClientProxy.java
HIVE-12577,2.0.0,llap-server/src/test/org/apache/hadoop/hive/llap/tezplugins/TestLlapTaskCommunicator.java
HIVE-12537,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/RunLengthIntegerWriterV2.java
HIVE-12478,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/HiveVolcanoPlannerContext.java
HIVE-12445,2.0.0,llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/QueryFileCleaner.java
HIVE-12215,2.0.0,metastore/src/gen/thrift/gen-cpp/ThriftHiveMetastore_server.skeleton.cpp
HIVE-11945,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/MetadataReader.java
HIVE-11928,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/InStream.java
HIVE-11928,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/MetadataReader.java
HIVE-11781,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/reloperators/HiveLimit.java
HIVE-11031,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/ColumnStatisticsImpl.java
HIVE-4243,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/ColumnStatisticsImpl.java
HIVE-4243,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcUtils.java
HIVE-4243,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/TypeDescription.java
HIVE-1863,2.0.0,itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestActivePassiveHA.java
HIVE-1863,2.0.0,itests/util/src/main/java/org/apache/hive/jdbc/miniHS2/MiniHS2.java
HIVE-1863,2.0.0,llap-client/src/java/org/apache/hadoop/hive/registry/impl/ZkRegistryBase.java
HIVE-1863,2.0.0,service/src/java/org/apache/hive/service/server/HS2ActivePassiveHARegistry.java
HIVE-1863,2.0.0,service/src/java/org/apache/hive/service/server/HS2ActivePassiveHARegistryClient.java
HIVE-1863,2.0.0,service/src/java/org/apache/hive/service/servlet/HS2LeadershipStatus.java
HIVE-1863,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/tez/TezSessionPoolSession.java
HIVE-1863,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/tez/WorkloadManager.java
HIVE-1863,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/HookRunner.java
HIVE-1863,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/QueryLifeTimeHookRunner.java
HIVE-1863,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/hooks/HooksLoader.java
HIVE-1863,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/hooks/TestQueryHooks.java
HIVE-1863,2.0.0,itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestTriggersMoveWorkloadManager.java
HIVE-1863,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/wm/WmContext.java
HIVE-1863,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/wm/TestTrigger.java
HIVE-1863,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/TestTxnNoBuckets.java
HIVE-1863,2.0.0,standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/HiveMetaStoreFsImpl.java
HIVE-28366,4.0.0,iceberg/iceberg-handler/src/test/java/org/apache/iceberg/mr/hive/TestConflictingDataFiles.java
HIVE-28190,4.0.0,ql/src/test/org/apache/hadoop/hive/metastore/txn/TestHeartbeatTxnRangeFunction.java
HIVE-28173,4.0.0,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/parse/TestParseUtilsStagingDir.java
HIVE-28006,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/views/IncrementalRebuildMode.java
HIVE-28006,4.0.0,ql/src/test/org/apache/hadoop/hive/ql/optimizer/calcite/rules/views/TestMaterializedViewIncrementalRewritingRelVisitor.java
HIVE-27649,3.1.2,parser/src/test/org/apache/hadoop/hive/ql/parse/TestParseDriver.java
HIVE-26036,3.1.2,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/ObjectStore.java
HIVE-26036,3.1.2,standalone-metastore/metastore-server/src/test/java/org/apache/hadoop/hive/metastore/TestObjectStore.java
HIVE-25926,4.0.0,standalone-metastore/metastore-server/src/test/java/org/apache/hadoop/hive/metastore/metrics/TestMultipleWorkerVersionDetection.java
HIVE-25912,3.1.2,standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/utils/MetaStoreUtils.java
HIVE-25912,3.1.2,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/HMSHandler.java
HIVE-25912,3.1.2,standalone-metastore/metastore-server/src/test/java/org/apache/hadoop/hive/metastore/client/TestTablesCreateDropAlterTruncate.java
HIVE-25912,3.1.2,standalone-metastore/metastore-server/src/test/java/org/apache/hadoop/hive/metastore/utils/TestMetaStoreServerUtils.java
HIVE-25659,3.1.0,standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/conf/MetastoreConf.java
HIVE-25659,3.1.0,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/txn/TxnUtils.java
HIVE-25659,3.1.0,standalone-metastore/metastore-server/src/test/java/org/apache/hadoop/hive/metastore/txn/TestTxnUtils.java
HIVE-25646,3.1.2,standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/HiveMetaStoreClient.java
HIVE-25299,3.1.2,ql/src/java/org/apache/hadoop/hive/ql/udf/UDFUtils.java
HIVE-24928,4.0.0,iceberg/iceberg-handler/src/test/java/org/apache/iceberg/mr/hive/TestHiveIcebergStorageHandlerWithEngine.java
HIVE-24928,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/parse/spark/SparkProcessAnalyzeTable.java
HIVE-24902,3.1.2,ql/src/java/org/apache/hadoop/hive/ql/parse/type/ExprNodeDescExprFactory.java
HIVE-24882,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/CompactorMR.java
HIVE-24849,2.3.4,ql/src/java/org/apache/hadoop/hive/ql/ddl/table/create/CreateTableDesc.java
HIVE-24579,3.1.2,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/HiveAggregateSortLimitRule.java
HIVE-24570,3.1.0,spark-client/src/main/java/org/apache/hive/spark/client/AbstractSparkClient.java
HIVE-23442,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/CompactorMR.java
HIVE-23339,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/security/authorization/command/CommandAuthorizerV1.java
HIVE-22955,4.0.0,upgrade-acid/pre-upgrade/src/main/java/org/apache/hadoop/hive/upgrade/acid/PreUpgradeTool.java
HIVE-22955,4.0.0,upgrade-acid/pre-upgrade/src/test/java/org/apache/hadoop/hive/upgrade/acid/TestPreUpgradeTool.java
HIVE-22170,3.1.2,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorTopNKeyOperator.java
HIVE-22170,3.1.2,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/CastCharToBinary.java
HIVE-22170,3.1.2,ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFFromUnixTime.java
HIVE-22170,3.1.2,ql/src/test/org/apache/hadoop/hive/ql/exec/vector/aggregation/AggregationBase.java
HIVE-22170,3.1.2,ql/src/test/org/apache/hadoop/hive/ql/exec/vector/expressions/TestVectorBetweenIn.java
HIVE-22170,3.1.2,ql/src/test/org/apache/hadoop/hive/ql/exec/vector/expressions/TestVectorCoalesceElt.java
HIVE-22170,3.1.2,ql/src/test/org/apache/hadoop/hive/ql/exec/vector/expressions/TestVectorFilterCompare.java
HIVE-22170,3.1.2,ql/src/test/org/apache/hadoop/hive/ql/exec/vector/expressions/TestVectorIndex.java
HIVE-22170,3.1.2,ql/src/test/org/apache/hadoop/hive/ql/exec/vector/expressions/TestVectorNegative.java
HIVE-22170,3.1.2,ql/src/test/org/apache/hadoop/hive/ql/exec/vector/expressions/TestVectorNull.java
HIVE-22170,3.1.2,ql/src/test/org/apache/hadoop/hive/ql/exec/vector/expressions/TestVectorStructField.java
HIVE-22009,3.1.1,ql/src/java/org/apache/hadoop/hive/ql/ddl/table/creation/CreateTableLikeOperation.java
HIVE-21597,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/DDLTask.java
HIVE-21591,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/DDLTask.java
HIVE-21482,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/ddl/table/CreateTableDesc.java
HIVE-21482,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/ddl/table/CreateTableLikeOperation.java
HIVE-21471,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/ddl/table/CreateTableOperation.java
HIVE-21471,4.0.0,standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/common/ReplConst.java
HIVE-21446,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/repl/ExternalTableCopyTaskBuilder.java
HIVE-21407,4.0.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/TestParquetRecordReaderWrapper.java
HIVE-21390,4.0.0,hcatalog/streaming/src/test/org/apache/hive/hcatalog/streaming/TestStreaming.java
HIVE-21390,4.0.0,hcatalog/streaming/src/test/org/apache/hive/hcatalog/streaming/mutate/StreamingTestUtils.java
