Bug,FileName,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,CountPathMean,CountPathMax,MaxNestingMin,MaxNestingMean,MaxNestingMax
0,/home/nicolas-richard/Desktop/.Apache_Hive/serde/src/test/org/apache/hadoop/hive/serde2/io/TestHiveVarcharWritable.java,23.0,4.0,18.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0,,0.0,1.0,0.0,0.0,4.0,,,,4.0,4.0,2.0,,,,4.0,,,0.0,,0.0,0.0,4.0,,128.0,22.0,82.0,33.0,53.0,24.0,,,,,,60.0,65.0,21.0,,53.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,,100.0,,0.29,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,5.0,7.75,13.0,1.0,1.0,1.0,0.0,0.0,0.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/serde/src/test/org/apache/hadoop/hive/serde2/io/TestTimestampWritable.java,13.0,1.0,11.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,34.0,,0.0,2.0,19.0,6.0,33.0,,,,33.0,14.0,2.0,,,,33.0,,,0.0,,19.0,1.0,13.0,,520.0,72.0,396.0,161.0,238.0,54.0,,,,,,235.0,298.0,140.0,,221.0,,,,,,,5.0,5.0,6.0,6.0,3.0,,2.0,3.0,,47.5,,0.14,60.0,60.0,62.0,62.0,35.0,0.0,3.4242424242424243,7.0,1.0,4.666666666666667,28.0,1.0,1.9393939393939394,9.0,0.0,0.6060606060606061,3.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/serde/src/test/org/apache/hadoop/hive/serde2/lazy/TestLazyArrayMapStruct.java,33.0,3.0,25.0,5.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,34.0,,0.0,1.0,0.0,2.0,22.0,,,,22.0,22.0,0.0,,,,22.0,,,0.0,,4.0,0.0,18.0,,799.0,100.0,571.0,139.0,462.0,131.0,,,,,,326.0,366.0,121.0,,296.0,,,,,,,15.0,6.0,15.0,6.0,1.0,,2.0,1.0,,0.0,,0.23,48.0,39.0,48.0,39.0,22.0,1.0,3.1363636363636362,15.0,1.0,5.636363636363637,34.0,1.0,24.227272727272727,500.0,0.0,0.5909090909090909,1.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/serde/src/test/org/apache/hadoop/hive/serde2/lazy/TestLazyPrimitive.java,35.0,2.0,31.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,29.0,,0.0,1.0,1.0,0.0,12.0,,,,12.0,11.0,0.0,,,,12.0,,,0.0,,0.0,0.0,12.0,,471.0,37.0,391.0,63.0,341.0,43.0,,,,,,300.0,325.0,56.0,,289.0,,,,,,,3.0,3.0,3.0,3.0,1.0,,2.0,2.0,,0.0,,0.11,22.0,22.0,22.0,22.0,12.0,1.0,4.083333333333333,20.0,2.0,6.416666666666667,9.0,1.0,1.8333333333333333,3.0,0.0,0.8333333333333334,2.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/serde/src/test/org/apache/hadoop/hive/serde2/lazy/TestLazySimpleFast.java,41.0,7.0,33.0,2.0,6.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,27.0,,0.0,1.0,0.0,0.0,7.0,,,,7.0,7.0,0.0,,,,7.0,,,0.0,,5.0,0.0,2.0,,341.0,58.0,255.0,101.0,177.0,34.0,,,,,,160.0,200.0,104.0,,127.0,,,,,,,26.0,26.0,30.0,30.0,1.0,,2.0,4.0,,0.0,,0.13,39.0,39.0,43.0,43.0,7.0,1.0,4.571428571428571,12.0,2.0,8.142857142857142,27.0,1.0,19675.85714285714,137700.0,0.0,1.1428571428571428,4.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/serde/src/test/org/apache/hadoop/hive/serde2/lazy/TestLazySimpleSerDe.java,25.0,3.0,18.0,4.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,37.0,,0.0,1.0,0.0,0.0,8.0,,,,8.0,8.0,0.0,,,,8.0,,,0.0,,3.0,0.0,5.0,,261.0,33.0,173.0,100.0,115.0,55.0,,,,,,113.0,128.0,81.0,,83.0,,,,,,,3.0,3.0,3.0,3.0,1.0,,2.0,2.0,,0.0,,0.32,14.0,14.0,14.0,14.0,8.0,1.0,4.125,9.0,2.0,9.25,15.0,1.0,1.75,3.0,0.0,0.75,2.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/serde/src/test/org/apache/hadoop/hive/serde2/lazy/fast/TestStringToDouble.java,14.0,0.0,14.0,0.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,,0.0,1.0,0.0,0.0,3.0,,,,3.0,3.0,1.0,,,,3.0,,,0.0,,0.0,0.0,3.0,,69.0,7.0,49.0,23.0,27.0,13.0,,,,,,38.0,49.0,27.0,,33.0,,,,,,,4.0,4.0,4.0,4.0,1.0,,1.0,3.0,,0.0,,0.27,10.0,10.0,10.0,10.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,2.0,3.3333333333333335,4.0,1.0,2.3333333333333335,3.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/serde/src/test/org/apache/hadoop/hive/serde2/lazybinary/MyTestClassBigger.java,19.0,1.0,16.0,2.0,7.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,25.0,,0.0,1.0,1.0,2.0,3.0,,,,3.0,2.0,19.0,,,,3.0,,,1.0,,0.0,0.0,2.0,,137.0,15.0,91.0,57.0,44.0,31.0,,,,,,78.0,83.0,56.0,,37.0,,,,,,,19.0,19.0,19.0,19.0,1.0,,1.0,1.0,,67.0,,0.34,22.0,22.0,22.0,22.0,3.0,2.0,3.0,4.0,4.0,21.0,38.0,1.0,1.5,2.0,0.0,0.5,1.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/serde/src/test/org/apache/hadoop/hive/serde2/lazybinary/MyTestClassSmaller.java,27.0,2.0,25.0,0.0,17.0,17.0,17.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,20.0,,0.0,1.0,0.0,1.0,1.0,,,,1.0,1.0,17.0,,,,1.0,,,0.0,,0.0,0.0,1.0,,86.0,10.0,59.0,36.0,24.0,17.0,,,,,,52.0,54.0,36.0,,19.0,,,,,,,17.0,17.0,17.0,17.0,1.0,,1.0,0.0,,0.0,,0.29,17.0,17.0,17.0,17.0,1.0,4.0,4.0,4.0,33.0,33.0,33.0,1.0,1.0,1.0,0.0,0.0,0.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/serde/src/test/org/apache/hadoop/hive/serde2/lazybinary/TestLazyBinaryFast.java,88.0,14.0,64.0,11.0,12.0,12.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,19.0,,0.0,1.0,0.0,0.0,3.0,,,,3.0,3.0,0.0,,,,3.0,,,0.0,,1.0,0.0,2.0,,305.0,50.0,209.0,79.0,144.0,50.0,,,,,,131.0,166.0,82.0,,104.0,,,,,,,27.0,27.0,31.0,31.0,1.0,,2.0,4.0,,0.0,,0.24,35.0,35.0,39.0,39.0,3.0,1.0,5.333333333333333,11.0,2.0,13.333333333333334,25.0,3.0,90887.0,272646.0,2.0,2.6666666666666665,4.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/serde/src/test/org/apache/hadoop/hive/serde2/lazybinary/TestLazyBinarySerDe.java,33.0,4.0,23.0,7.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,42.0,,0.0,1.0,2.0,0.0,14.0,,,,14.0,12.0,1.0,,,,14.0,,,5.0,,4.0,1.0,4.0,,544.0,69.0,359.0,193.0,261.0,116.0,,,,,,245.0,286.0,186.0,,201.0,,,,,,,10.0,10.0,10.0,10.0,5.0,,2.0,5.0,,71.0,,0.32,39.0,39.0,39.0,39.0,20.0,2.0,5.285714285714286,11.0,2.0,10.285714285714286,28.0,1.0,4.857142857142857,37.0,0.0,1.4285714285714286,5.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/serde/src/test/org/apache/hadoop/hive/serde2/objectinspector/MyStruct.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,,0.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,6.0,,,,0.0,,,0.0,,0.0,0.0,0.0,,34.0,2.0,11.0,10.0,0.0,21.0,,,,,,9.0,10.0,10.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/serde/src/test/org/apache/hadoop/hive/serde2/objectinspector/TestCrossMapEqualComparer.java,15.0,2.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,32.0,,0.0,4.0,0.0,0.0,8.0,,,,8.0,8.0,3.0,,,,8.0,,,2.0,,0.0,0.0,6.0,,178.0,30.0,122.0,63.0,76.0,26.0,,,,,,85.0,97.0,56.0,,67.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,2.0,0.0,,0.0,,0.21,8.0,8.0,8.0,8.0,8.0,3.0,4.6,5.0,6.0,10.8,15.0,1.0,1.0,1.0,0.0,0.0,0.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/serde/src/test/org/apache/hadoop/hive/serde2/objectinspector/TestFullMapEqualComparer.java,25.0,3.0,22.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,11.0,,0.0,2.0,0.0,0.0,3.0,,,,3.0,3.0,1.0,,,,3.0,,,0.0,,0.0,0.0,3.0,,112.0,19.0,76.0,35.0,48.0,23.0,,,,,,52.0,57.0,33.0,,46.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,2.0,0.0,,0.0,,0.3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/serde/src/test/org/apache/hadoop/hive/serde2/objectinspector/TestObjectInspectorConverters.java,162.0,22.0,133.0,8.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,32.0,,0.0,1.0,0.0,0.0,2.0,,,,2.0,2.0,0.0,,,,2.0,,,0.0,,0.0,0.0,2.0,,377.0,50.0,291.0,84.0,256.0,37.0,,,,,,165.0,169.0,64.0,,142.0,,,,,,,2.0,2.0,2.0,2.0,1.0,,2.0,1.0,,0.0,,0.13,3.0,3.0,3.0,3.0,2.0,0.0,9.0,18.0,6.0,11.0,16.0,1.0,1.5,2.0,0.0,0.5,1.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/serde/src/test/org/apache/hadoop/hive/serde2/objectinspector/TestObjectInspectorUtils.java,40.0,4.0,35.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,20.0,,0.0,1.0,0.0,0.0,3.0,,,,3.0,3.0,0.0,,,,3.0,,,0.0,,0.0,0.0,3.0,,159.0,17.0,115.0,38.0,95.0,27.0,,,,,,80.0,87.0,36.0,,72.0,,,,,,,4.0,4.0,4.0,4.0,1.0,,2.0,2.0,,0.0,,0.23,6.0,6.0,6.0,6.0,3.0,2.0,3.6666666666666665,6.0,4.0,12.333333333333334,25.0,1.0,2.3333333333333335,5.0,0.0,0.6666666666666666,2.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/serde/src/test/org/apache/hadoop/hive/serde2/objectinspector/TestProtocolBuffersObjectInspectors.java,64.0,6.0,54.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,,0.0,1.0,0.0,0.0,1.0,,,,1.0,1.0,0.0,,,,1.0,,,0.0,,0.0,0.0,1.0,,101.0,11.0,65.0,22.0,49.0,25.0,,,,,,41.0,46.0,22.0,,32.0,,,,,,,4.0,4.0,4.0,4.0,1.0,,2.0,2.0,,0.0,,0.38,4.0,4.0,4.0,4.0,1.0,6.0,6.0,6.0,16.0,16.0,16.0,5.0,5.0,5.0,2.0,2.0,2.0
