Bug,FileName,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential
0,/home/nicolas-richard/Desktop/.Apache_Hive/standalone-metastore/metastore-common/src/test/java/org/apache/hadoop/hive/metastore/properties/DigesterTest.java,/home/nicolas-richard/Desktop/.Apache_Hive/standalone-metastore/metastore-common/src/test/java/org/apache/hadoop/hive/metastore/properties/DigesterTest.java,25.0,2.0,21.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,6.0,,,,6.0,6.0,2.0,,,,6.0,,,0.0,,0.0,0.0,6.0,,195.0,23.0,139.0,71.0,104.0,33.0,,,,,,104.0,115.0,67.0,,77.0,,,,,,,3.0,3.0,3.0,3.0,1.0,,,2.0,,,,0.24,10.0,10.0,10.0,10.0,6.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/standalone-metastore/metastore-common/src/test/java/org/apache/hadoop/hive/metastore/properties/JavaTestManager.java,/home/nicolas-richard/Desktop/.Apache_Hive/standalone-metastore/metastore-common/src/test/java/org/apache/hadoop/hive/metastore/properties/JavaTestManager.java,7.0,0.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,4.0,4.0,9.0,,,,9.0,5.0,0.0,,,,9.0,,,1.0,,0.0,2.0,6.0,,96.0,10.0,42.0,18.0,17.0,44.0,,,,,,17.0,28.0,15.0,,16.0,,,,,,,4.0,2.0,4.0,3.0,1.0,,,1.0,,,,1.05,13.0,11.0,14.0,12.0,9.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/standalone-metastore/metastore-common/src/test/java/org/apache/hadoop/hive/metastore/properties/PocExternal.java,/home/nicolas-richard/Desktop/.Apache_Hive/standalone-metastore/metastore-common/src/test/java/org/apache/hadoop/hive/metastore/properties/PocExternal.java,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,9.0,,,,9.0,9.0,2.0,,,,9.0,,,0.0,,2.0,2.0,5.0,,84.0,12.0,50.0,24.0,17.0,22.0,,,,,,28.0,39.0,24.0,,16.0,,,,,,,2.0,2.0,2.0,2.0,1.0,,,1.0,,,,0.44,10.0,10.0,10.0,10.0,9.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/standalone-metastore/metastore-common/src/test/java/org/apache/hadoop/hive/metastore/properties/PocExternalTest.java,/home/nicolas-richard/Desktop/.Apache_Hive/standalone-metastore/metastore-common/src/test/java/org/apache/hadoop/hive/metastore/properties/PocExternalTest.java,6.0,1.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,3.0,0.0,2.0,22.0,,,,22.0,22.0,1.0,,,,22.0,,,0.0,,4.0,1.0,17.0,,210.0,39.0,139.0,71.0,66.0,32.0,,,,,,79.0,105.0,64.0,,64.0,,,,,,,2.0,2.0,2.0,2.0,1.0,,,1.0,,,,0.23,23.0,23.0,23.0,23.0,22.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/standalone-metastore/metastore-common/src/test/java/org/apache/hadoop/hive/metastore/properties/PropertyManagerTest.java,/home/nicolas-richard/Desktop/.Apache_Hive/standalone-metastore/metastore-common/src/test/java/org/apache/hadoop/hive/metastore/properties/PropertyManagerTest.java,16.0,2.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,7.0,,,,7.0,5.0,2.0,,,,5.0,,,0.0,,1.0,0.0,4.0,,136.0,21.0,92.0,25.0,65.0,23.0,,,,,,63.0,69.0,21.0,,51.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,0.0,,,,0.25,7.0,7.0,7.0,7.0,7.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/standalone-metastore/metastore-common/src/test/java/org/apache/hadoop/hive/metastore/properties/PropertyMapTest.java,/home/nicolas-richard/Desktop/.Apache_Hive/standalone-metastore/metastore-common/src/test/java/org/apache/hadoop/hive/metastore/properties/PropertyMapTest.java,12.0,1.0,11.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,0.0,15.0,,,,15.0,13.0,2.0,,,,15.0,,,0.0,,6.0,0.0,9.0,,229.0,24.0,181.0,65.0,118.0,24.0,,,,,,130.0,151.0,59.0,,114.0,,,,,,,5.0,5.0,5.0,5.0,1.0,,,1.0,,,,0.13,21.0,21.0,21.0,21.0,15.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/standalone-metastore/metastore-common/src/test/java/org/apache/hadoop/hive/metastore/properties/PropertySchemaTest.java,/home/nicolas-richard/Desktop/.Apache_Hive/standalone-metastore/metastore-common/src/test/java/org/apache/hadoop/hive/metastore/properties/PropertySchemaTest.java,30.0,2.0,26.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,1.0,,,,1.0,1.0,0.0,,,,1.0,,,0.0,,0.0,0.0,1.0,,64.0,7.0,38.0,18.0,23.0,19.0,,,,,,31.0,34.0,18.0,,22.0,,,,,,,2.0,2.0,2.0,2.0,1.0,,,1.0,,,,0.5,2.0,2.0,2.0,2.0,1.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/standalone-metastore/metastore-common/src/test/java/org/apache/hadoop/hive/metastore/properties/PropertyTypeTest.java,/home/nicolas-richard/Desktop/.Apache_Hive/standalone-metastore/metastore-common/src/test/java/org/apache/hadoop/hive/metastore/properties/PropertyTypeTest.java,11.0,0.0,11.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,3.0,0.0,1.0,11.0,,,,11.0,11.0,0.0,,,,11.0,,,0.0,,0.0,0.0,11.0,,156.0,15.0,121.0,31.0,84.0,20.0,,,,,,88.0,103.0,35.0,,73.0,,,,,,,3.0,3.0,3.0,3.0,1.0,,,1.0,,,,0.17,16.0,16.0,16.0,16.0,11.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/standalone-metastore/metastore-common/src/test/java/org/apache/hadoop/hive/metastore/properties/SoftCacheTest.java,/home/nicolas-richard/Desktop/.Apache_Hive/standalone-metastore/metastore-common/src/test/java/org/apache/hadoop/hive/metastore/properties/SoftCacheTest.java,21.0,0.0,18.0,3.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,4.0,,,,4.0,4.0,0.0,,,,4.0,,,0.0,,1.0,0.0,3.0,,116.0,7.0,80.0,29.0,50.0,29.0,,,,,,65.0,81.0,36.0,,59.0,,,,,,,11.0,11.0,11.0,11.0,1.0,,,1.0,,,,0.36,14.0,14.0,14.0,14.0,4.0
0,/home/nicolas-richard/Desktop/.Apache_Hive/standalone-metastore/metastore-common/src/test/java/org/apache/hadoop/hive/metastore/properties/TransientPropertyStore.java,/home/nicolas-richard/Desktop/.Apache_Hive/standalone-metastore/metastore-common/src/test/java/org/apache/hadoop/hive/metastore/properties/TransientPropertyStore.java,9.0,0.0,9.0,0.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,10.0,,,,10.0,8.0,2.0,,,,8.0,,,0.0,,0.0,0.0,8.0,,120.0,11.0,81.0,31.0,44.0,28.0,,,,,,41.0,58.0,29.0,,40.0,,,,,,,4.0,4.0,7.0,7.0,3.0,,,3.0,,,,0.35,20.0,20.0,26.0,26.0,12.0
