Bug,FileName,AvgCyclomatic,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential
0,AbortTxnsDesc.java,1.0,5.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,2.0,,,,2.0,2.0,1.0,,,,2.0,,,0.0,,0.0,0.0,2.0,,36.0,0.0,13.0,8.0,3.0,23.0,,,,7.0,10.0,8.0,,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,1.77,2.0,2.0,2.0,2.0,2.0
0,AbortTxnsRequest.java,2.0,8.0,0.0,7.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,6.0,3.0,5.0,41.0,,,,39.0,38.0,4.0,,,,41.0,,,1.0,,2.0,0.0,38.0,,438.0,67.0,346.0,110.0,164.0,28.0,,,,154.0,236.0,101.0,,149.0,,,,,,6.0,6.0,9.0,9.0,5.0,,4.0,,,0.08,75.0,75.0,80.0,80.0,51.0
0,AbstractBucketJoinProc.java,7.0,38.0,3.0,32.0,3.0,7.0,7.0,7.0,3.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,0.0,11.0,,,,12.0,10.0,1.0,,,,12.0,,,0.0,,4.0,3.0,5.0,,515.0,52.0,395.0,155.0,236.0,69.0,,,,193.0,282.0,137.0,,205.0,,,,,,26.0,26.0,29.0,29.0,16.0,,6.0,,,0.17,75.0,75.0,82.0,82.0,38.0
0,AbstractCliConfig.java,2.0,7.0,0.0,7.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,6.0,1.0,2.0,42.0,,,,40.0,41.0,19.0,,,,42.0,,,0.0,,4.0,13.0,25.0,,436.0,63.0,345.0,118.0,170.0,28.0,,,,153.0,244.0,116.0,,151.0,,,,,,8.0,8.0,11.0,11.0,4.0,,4.0,,,0.08,81.0,81.0,91.0,91.0,45.0
0,AbstractCommandHandler.java,2.0,7.0,0.0,7.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,8.0,,,,8.0,8.0,6.0,,,,8.0,,,0.0,,0.0,0.0,8.0,,110.0,18.0,67.0,30.0,26.0,25.0,,,,31.0,46.0,24.0,,24.0,,,,,,5.0,5.0,7.0,7.0,5.0,,2.0,,,0.37,13.0,13.0,16.0,16.0,12.0
0,AbstractCoreBlobstoreCliDriver.java,2.0,16.0,1.0,14.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,5.0,8.0,,,,8.0,8.0,0.0,,,,8.0,,,0.0,,1.0,1.0,6.0,,182.0,20.0,136.0,56.0,80.0,27.0,,,,78.0,97.0,45.0,,65.0,,,,,,6.0,6.0,6.0,6.0,3.0,,2.0,,,0.2,19.0,19.0,19.0,19.0,10.0
0,AbstractCorrelationProcCtx.java,2.0,5.0,0.0,5.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,8.0,,,,8.0,8.0,5.0,,,,8.0,,,0.0,,0.0,0.0,8.0,,99.0,14.0,63.0,28.0,23.0,23.0,,,,35.0,49.0,29.0,,22.0,,,,,,5.0,5.0,5.0,5.0,1.0,,3.0,,,0.37,12.0,12.0,12.0,12.0,8.0
0,AbstractDeserializer.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,4.0,4.0,0.0,,,,4.0,,,0.0,,0.0,0.0,4.0,,68.0,8.0,11.0,10.0,0.0,49.0,,,,9.0,10.0,10.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,4.45,0.0,0.0,0.0,0.0,0.0
0,AbstractEncodingAwareSerDe.java,2.0,8.0,0.0,8.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,3.0,,,,7.0,7.0,1.0,,,,7.0,,,0.0,,0.0,4.0,3.0,,87.0,12.0,43.0,27.0,11.0,32.0,,,,23.0,30.0,21.0,,11.0,,,,,,2.0,2.0,3.0,3.0,1.0,,1.0,,,0.74,6.0,6.0,7.0,7.0,3.0
0,AbstractEventHandler.java,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,3.0,,,,3.0,3.0,2.0,,,,3.0,,,1.0,,0.0,0.0,2.0,,46.0,6.0,23.0,15.0,5.0,17.0,,,,13.0,17.0,13.0,,5.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.74,3.0,3.0,3.0,3.0,3.0
