Bug,FileName,AvgCyclomatic,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential
0,HiveHBaseTableSnapshotInputFormat.java,1.0,9.0,1.0,8.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,2.0,2.0,0.0,10.0,,,,10.0,8.0,1.0,,,,10.0,,,1.0,,1.0,0.0,8.0,,114.0,18.0,75.0,35.0,34.0,21.0,,,,40.0,52.0,37.0,,21.0,,,,,,2.0,2.0,2.0,2.0,1.0,,1.0,,,0.28,11.0,11.0,11.0,11.0,10.0
0,HiveHFileOutputFormat.java,3.0,32.0,1.0,28.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,,,,,2.0,1.0,2.0,9.0,,,,9.0,8.0,0.0,,,,9.0,,,0.0,,3.0,0.0,6.0,,262.0,22.0,196.0,88.0,108.0,44.0,,,,101.0,134.0,78.0,,81.0,,,,,,8.0,8.0,9.0,9.0,5.0,,3.0,,,0.22,30.0,30.0,31.0,31.0,16.0
0,HiveHarFileSystem.java,3.0,15.0,1.0,11.0,4.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2.0,,,,2.0,2.0,0.0,,,,2.0,,,0.0,,0.0,0.0,2.0,,66.0,7.0,31.0,18.0,13.0,28.0,,,,17.0,23.0,15.0,,10.0,,,,,,4.0,4.0,4.0,4.0,1.0,,1.0,,,0.9,5.0,5.0,5.0,5.0,2.0
0,HiveHistory.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8.0,0.0,0.0,4.0,,,,14.0,18.0,28.0,,,,18.0,,,1.0,,0.0,0.0,17.0,,215.0,33.0,68.0,65.0,3.0,114.0,,,,31.0,34.0,34.0,,3.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,1.68,0.0,0.0,0.0,0.0,0.0
0,HiveHistoryImpl.java,3.0,15.0,2.0,12.0,1.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,6.0,18.0,,,,18.0,18.0,6.0,,,,18.0,,,2.0,,0.0,1.0,15.0,,365.0,62.0,258.0,99.0,152.0,47.0,,,,137.0,188.0,86.0,,135.0,,,,,,10.0,10.0,11.0,11.0,5.0,,5.0,,,0.18,47.0,47.0,49.0,49.0,25.0
0,HiveHistoryProxyHandler.java,1.0,5.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,0.0,2.0,,,,2.0,1.0,0.0,,,,2.0,,,0.0,,0.0,0.0,2.0,,44.0,7.0,15.0,8.0,4.0,22.0,,,,6.0,9.0,7.0,,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,1.47,2.0,2.0,2.0,2.0,2.0
0,HiveHistoryUtil.java,4.0,30.0,3.0,19.0,9.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,3.0,2.0,,,,2.0,0.0,0.0,,,,2.0,,,0.0,,1.0,0.0,1.0,,99.0,11.0,54.0,29.0,31.0,35.0,,,,33.0,42.0,28.0,,25.0,,,,,,5.0,5.0,5.0,5.0,4.0,,3.0,,,0.65,7.0,7.0,7.0,7.0,5.0
0,HiveHistoryViewer.java,2.0,12.0,2.0,9.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,6.0,,,,6.0,6.0,4.0,,,,6.0,,,1.0,,0.0,0.0,5.0,,129.0,23.0,73.0,29.0,40.0,33.0,,,,43.0,56.0,29.0,,33.0,,,,,,6.0,6.0,9.0,9.0,1.0,,2.0,,,0.45,12.0,12.0,15.0,15.0,6.0
0,HiveIOExceptionHandler.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,2.0,2.0,0.0,,,,2.0,,,0.0,,0.0,0.0,2.0,,52.0,7.0,10.0,9.0,0.0,35.0,,,,6.0,7.0,7.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,3.5,0.0,0.0,0.0,0.0,0.0
0,HiveIOExceptionHandlerChain.java,3.0,15.0,1.0,11.0,3.0,3.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,5.0,,,,5.0,4.0,1.0,,,,5.0,,,0.0,,0.0,2.0,3.0,,124.0,15.0,68.0,28.0,32.0,41.0,,,,29.0,49.0,27.0,,29.0,,,,,,6.0,6.0,8.0,8.0,4.0,,5.0,,,0.6,16.0,16.0,20.0,20.0,11.0
0,HiveIOExceptionHandlerUtil.java,2.0,16.0,0.0,9.0,7.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,3.0,1.0,3.0,,,,3.0,0.0,0.0,,,,3.0,,,0.0,,1.0,0.0,2.0,,82.0,8.0,35.0,18.0,17.0,39.0,,,,16.0,23.0,13.0,,15.0,,,,,,2.0,2.0,2.0,2.0,1.0,,1.0,,,1.11,6.0,6.0,6.0,6.0,3.0
0,HiveIOExceptionNextHandleResult.java,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,5.0,,,,5.0,5.0,2.0,,,,5.0,,,0.0,,0.0,0.0,5.0,,55.0,10.0,21.0,9.0,6.0,24.0,,,,9.0,15.0,9.0,,6.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,1.14,5.0,5.0,5.0,5.0,5.0
0,HiveIgnoreKeyTextOutputFormat.java,1.0,13.0,0.0,10.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,3.0,0.0,0.0,7.0,,,,7.0,7.0,1.0,,,,7.0,,,0.0,,0.0,0.0,7.0,,133.0,15.0,77.0,44.0,31.0,41.0,,,,37.0,48.0,34.0,,17.0,,,,,,2.0,2.0,2.0,2.0,1.0,,1.0,,,0.53,9.0,9.0,9.0,9.0,7.0
0,HiveIn.java,1.0,10.0,0.0,10.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,,,,1.0,,,0.0,,1.0,0.0,0.0,,41.0,5.0,19.0,9.0,9.0,17.0,,,,7.0,9.0,8.0,,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.89,1.0,1.0,1.0,1.0,1.0
0,HiveIndex.java,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,2.0,2.0,2.0,7.0,,,,5.0,5.0,5.0,,,,7.0,,,0.0,,1.0,0.0,6.0,,77.0,13.0,44.0,21.0,16.0,20.0,,,,20.0,32.0,20.0,,15.0,,,,,,3.0,3.0,3.0,3.0,3.0,,2.0,,,0.45,9.0,9.0,9.0,9.0,9.0
0,HiveIndexHandler.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,5.0,5.0,0.0,,,,5.0,,,5.0,,0.0,0.0,0.0,,138.0,8.0,31.0,30.0,0.0,99.0,,,,18.0,19.0,19.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,3.19,0.0,0.0,0.0,0.0,0.0
0,HiveIndexQueryContext.java,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,13.0,,,,13.0,13.0,6.0,,,,13.0,,,0.0,,0.0,0.0,13.0,,101.0,13.0,62.0,29.0,18.0,32.0,,,,32.0,47.0,29.0,,18.0,,,,,,2.0,2.0,2.0,2.0,1.0,,1.0,,,0.52,14.0,14.0,14.0,14.0,13.0
1,HiveIndexResult.java,4.0,17.0,1.0,16.0,0.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,1.0,8.0,,,,8.0,8.0,6.0,,,,8.0,,,0.0,,1.0,0.0,7.0,,208.0,23.0,162.0,70.0,93.0,23.0,,,,90.0,125.0,70.0,,78.0,,,,,,9.0,9.0,10.0,10.0,6.0,,5.0,,,0.14,29.0,29.0,31.0,31.0,13.0
1,HiveIndexedInputFormat.java,4.0,27.0,2.0,23.0,1.0,4.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,5.0,,,,5.0,4.0,1.0,,,,5.0,,,0.0,,0.0,0.0,5.0,,196.0,20.0,149.0,60.0,89.0,27.0,,,,86.0,112.0,61.0,,69.0,,,,,,14.0,14.0,16.0,16.0,5.0,,5.0,,,0.18,22.0,22.0,24.0,24.0,9.0
1,HiveInputFormat.java,3.0,17.0,1.0,15.0,1.0,3.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,,,,,2.0,8.0,3.0,30.0,,,,30.0,22.0,6.0,,,,30.0,,,1.0,,4.0,4.0,21.0,,659.0,78.0,504.0,178.0,298.0,78.0,,,,253.0,349.0,155.0,,239.0,,,,,,13.0,13.0,18.0,18.0,4.0,,4.0,,,0.15,94.0,94.0,108.0,108.0,39.0
